id,type,name
1,Fruta-Hortaliza,Ajo Chino
2,Fruta-Hortaliza,Apio Americano
3,Fruta-Hortaliza,Brócoli Sin Especificar
4,Fruta-Hortaliza,Cebolla Sin Especificar
5,Fruta-Hortaliza,Choclo Americano
6,Fruta-Hortaliza,Coliflor Sin Especificar
7,Fruta-Hortaliza,Espinaca Sin Especificar
8,Fruta-Hortaliza,Kiwi Hayward
9,Fruta-Hortaliza,Lechuga Conconina
10,Fruta-Hortaliza,Lechuga Escarola
11,Fruta-Hortaliza,Limón Sin Especificar
12,Fruta-Hortaliza,Mandarina clemenuless
13,Fruta-Hortaliza,Manzana Fuji
14,Fruta-Hortaliza,Manzana Granny Smith
15,Fruta-Hortaliza,Manzana Royal Fuji
16,Fruta-Hortaliza,Naranja Fukumoto
17,Fruta-Hortaliza,Naranja Thompson
18,Fruta-Hortaliza,Palta Hass
19,Fruta-Hortaliza,Palta Negra de La Cruz
20,Fruta-Hortaliza,Papa Asterix
21,Fruta-Hortaliza,Pepino ensalada Sin Especificar
22,Fruta-Hortaliza,Pera Packam's Triumph
23,Fruta-Hortaliza,Pimiento Cuatro cascos verde
24,Fruta-Hortaliza,Plátano Sin Especificar
25,Fruta-Hortaliza,Poroto verde Magnum
26,Fruta-Hortaliza,Repollo Crespo record
27,Fruta-Hortaliza,Tomate Larga Vida
28,Fruta-Hortaliza,Zanahoria Sin Especificar
29,Fruta-Hortaliza,Zapallo Camote
30,Fruta-Hortaliza,Zapallo italiano Sin Especificar
31,Fruta-Hortaliza,Mandarina Clementina
32,Fruta-Hortaliza,Papa Desire
33,Fruta-Hortaliza,Manzana Royal Gala
34,Fruta-Hortaliza,Naranja Navel Late
35,Fruta-Hortaliza,Durazno Florida King
36,Fruta-Hortaliza,Naranja Valencia
37,Fruta-Hortaliza,Nectarín Early John
38,Fruta-Hortaliza,Choclo Choclero
39,Fruta-Hortaliza,Melón Calameño
40,Fruta-Hortaliza,Melón Tuna
41,Fruta-Hortaliza,Poroto granado Sin Especificar
42,Fruta-Hortaliza,Sandia Sin Especificar
43,Fruta-Hortaliza,Durazno Conservero
44,Fruta-Hortaliza,Nectarín Plátano
45,Fruta-Hortaliza,Papa Karú
46,Fruta-Hortaliza,Pera Bartlett verano
47,Fruta-Hortaliza,Uva Red Globe
48,Fruta-Hortaliza,Uva Sultanina
49,Fruta-Hortaliza,Tomate Semiduro
50,Fruta-Hortaliza,Naranja Valenciana
